,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,14.0,,,state,dsew-cpr
1,al,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,338.5714286,,,state,dsew-cpr
2,ar,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,150.0,,,state,dsew-cpr
3,as,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,,,,state,dsew-cpr
4,az,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,472.0,,,state,dsew-cpr
5,ca,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,1927.7142857,,,state,dsew-cpr
6,co,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,222.2857143,,,state,dsew-cpr
7,ct,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,138.7142857,,,state,dsew-cpr
8,dc,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,29.0,,,state,dsew-cpr
9,de,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,51.4285714,,,state,dsew-cpr
10,fl,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,767.1428571,,,state,dsew-cpr
11,ga,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,469.4285714,,,state,dsew-cpr
12,gu,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,2.2857143,,,state,dsew-cpr
13,hi,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,5.1428571,,,state,dsew-cpr
14,ia,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,99.7142857,,,state,dsew-cpr
15,id,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,56.0,,,state,dsew-cpr
16,il,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,523.7142857,,,state,dsew-cpr
17,in,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,375.8571429,,,state,dsew-cpr
18,ks,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,158.2857143,,,state,dsew-cpr
19,ky,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,442.5714286,,,state,dsew-cpr
20,la,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,187.2857143,,,state,dsew-cpr
21,ma,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,227.4285714,,,state,dsew-cpr
22,md,confirmed_admissions_covid_1d_7dav,2020-12-16,2022-05-02,502,220.1428571,,,state,dsew-cpr
