,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,al,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,70.0,,,state,nchs-mortality
1,ar,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,64.0,,,state,nchs-mortality
2,az,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,87.0,,,state,nchs-mortality
3,ca,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,488.0,,,state,nchs-mortality
4,co,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,52.0,,,state,nchs-mortality
5,ct,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,53.0,,,state,nchs-mortality
6,dc,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,11.0,,,state,nchs-mortality
7,de,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,14.0,,,state,nchs-mortality
8,fl,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,280.0,,,state,nchs-mortality
9,ga,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,94.0,,,state,nchs-mortality
10,hi,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,19.0,,,state,nchs-mortality
11,ia,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,56.0,,,state,nchs-mortality
12,id,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,12.0,,,state,nchs-mortality
13,il,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,171.0,,,state,nchs-mortality
14,in,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,103.0,,,state,nchs-mortality
15,ks,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,43.0,,,state,nchs-mortality
16,ky,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,101.0,,,state,nchs-mortality
17,la,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,46.0,,,state,nchs-mortality
18,ma,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,118.0,,,state,nchs-mortality
19,md,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,77.0,,,state,nchs-mortality
20,me,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,22.0,,,state,nchs-mortality
21,mi,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,128.0,,,state,nchs-mortality
22,mn,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,82.0,,,state,nchs-mortality
23,mo,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,98.0,,,state,nchs-mortality
24,ms,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,53.0,,,state,nchs-mortality
25,mt,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,11.0,,,state,nchs-mortality
26,nc,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,140.0,,,state,nchs-mortality
27,nd,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,11.0,,,state,nchs-mortality
28,ne,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,35.0,,,state,nchs-mortality
29,nh,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,15.0,,,state,nchs-mortality
30,nj,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,96.0,,,state,nchs-mortality
31,nm,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,32.0,,,state,nchs-mortality
32,nv,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,38.0,,,state,nchs-mortality
33,ny,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,277.0,,,state,nchs-mortality
34,oh,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,152.0,,,state,nchs-mortality
35,ok,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,86.0,,,state,nchs-mortality
36,or,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,40.0,,,state,nchs-mortality
37,pa,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,182.0,,,state,nchs-mortality
38,pr,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,82.0,,,state,nchs-mortality
39,ri,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,10.0,,,state,nchs-mortality
40,sc,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,70.0,,,state,nchs-mortality
41,sd,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,10.0,,,state,nchs-mortality
42,tn,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,140.0,,,state,nchs-mortality
43,tx,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,306.0,,,state,nchs-mortality
44,ut,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,20.0,,,state,nchs-mortality
45,va,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,82.0,,,state,nchs-mortality
46,wa,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,78.0,,,state,nchs-mortality
47,wi,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,68.0,,,state,nchs-mortality
48,wv,deaths_pneumonia_or_flu_or_covid_incidence_num,202005,202050,45,35.0,,,state,nchs-mortality
49,ak,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,,,,state,nchs-mortality
50,al,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,71.0,,,state,nchs-mortality
51,ar,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,59.0,,,state,nchs-mortality
52,az,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,90.0,,,state,nchs-mortality
53,ca,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,519.0,,,state,nchs-mortality
54,co,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,61.0,,,state,nchs-mortality
55,ct,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,44.0,,,state,nchs-mortality
56,dc,deaths_pneumonia_or_flu_or_covid_incidence_num,202006,202144,91,10.0,,,state,nchs-mortality
