time_value,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-03-01,,,,,0.239992,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.0854,,0.1538385,,,0.0,,,,,,,0.5416812,,,
2020-03-02,,,,1.0,0.2009784,,0.0,,0.0,0.0545455,0.2857143,0.0,,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,0.0,,0.2916208,,0.0,,0.0,0.7222222,0.0854,,0.0467445,0.0,,0.0,,,0.0,,,,0.4085313,0.0,,
2020-03-03,,,,0.2297297,0.164494,,0.0,,0.0,0.0191307,0.0857633,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.2019577,0.0,0.0,,0.0,0.262995,0.0853865,,0.026328,0.1111111,,0.0,,0.125,0.0,0.0,0.5,,0.3676118,0.0,,
2020-03-04,0.0,,0.0,0.1981418,0.1400077,,0.0,,0.0,0.0256929,0.0249245,0.0,,0.0,0.0147696,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.1874414,,0.2676153,0.0,0.0,0.0,0.1333,0.3052106,0.0853775,,0.0341096,0.047619,,0.0,,0.125,0.0,0.0,0.0714286,,0.2470108,0.0,,
2020-03-05,0.0,,0.0,0.20959,0.1216187,,0.0,,0.0,0.0487825,0.0113533,0.0,,0.0,0.0263114,0.0,0.0,0.0,0.0,0.1666667,,,0.0,,0.0,0.0,,0.0740741,,0.2218802,0.0212766,0.0,0.0,0.0889,0.3635715,0.0853898,,0.0266755,0.0523077,,0.0,,0.1996572,0.08,0.0,0.0901639,,0.2005347,0.0,,
2020-03-06,0.0,0.0,0.0,0.1575077,0.154421,,0.0,0.0,0.0,0.066039,0.0749197,0.0,,0.0,0.0193785,0.068884,0.0,0.8333333,0.0,0.0607681,,,0.0,,0.0,0.0,,0.1374885,,0.2390041,0.009365,0.0,0.0,0.0667,0.3030972,0.042687,0.1111111,0.0545158,0.1564354,,0.0,,0.0618557,0.0310174,0.0,0.0456204,,0.1815924,0.0,,
2020-03-07,0.0,0.0,0.0,0.1675167,0.1214879,,0.019262,0.0,0.0,0.0616978,0.0417034,0.0,0.0,0.0,0.0188944,0.0553359,0.081959,0.7462687,0.0,0.0649825,,,0.0,,0.0628293,0.0,,0.0913493,,0.2260436,0.0054245,0.0,0.0,0.0533,0.293242,0.0426656,0.1111111,0.0561803,0.1437414,,0.0,,0.1402881,0.0292035,0.0,0.0588235,,0.1596696,0.0,,
2020-03-08,0.0,0.0,0.0,0.1488649,0.1294002,,0.0201142,0.0,0.0,0.0769714,0.0708132,0.0,0.0,0.0,0.0203033,0.3195075,0.0952286,0.9224377,0.0,0.0767321,,,0.0,,0.046745,0.0,,0.1359943,,0.2325625,0.0171632,0.0,0.0,0.0747,0.2631661,0.0144928,0.1002994,0.0469588,0.1258445,,0.0,,0.1558687,0.0280899,0.0,0.0669291,,0.1332386,0.0,,
2020-03-09,0.0,0.0,0.0,0.082357,0.1320614,,0.0508395,0.0417,0.0,0.0822776,0.0925934,0.0,0.0,0.0,0.0333786,0.2535516,0.019994,1.0,0.0267373,0.1747809,0.0,,0.0,,0.0344998,0.0,0.0,0.1364784,,0.1860825,0.0253285,0.0,0.0,0.0747,0.1938089,0.246546,0.106383,0.0467189,0.1253804,,0.3546099,,0.1200156,0.0986842,0.1246106,0.0147059,,0.1275288,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.104194,0.1283202,,0.0586703,0.0313,0.0,0.0813905,0.0534697,0.0,0.0,0.0,0.0509088,0.4476149,0.0313415,0.5943205,0.0365754,0.2184955,0.0,,0.0,,0.0193784,0.0037216,0.0,0.1176834,,0.155308,0.022569,0.0,0.0164299,0.0762,0.1854809,0.0835001,0.0933307,0.0571234,0.1428176,,0.0762195,,0.1154041,0.1352227,0.0421053,0.0,,0.1290301,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.625,0.0616306,0.1595213,,0.0559126,0.0526,0.0,0.0906728,0.0756976,0.0,0.0,0.0,0.0553057,0.3456032,0.0487579,0.5198079,0.0370937,0.2317816,0.1069591,,0.0,,0.0134106,0.0207608,0.0,0.1161272,,0.137383,0.0246801,,0.0305385,0.0536,0.1446592,0.0702514,0.0577,0.0569284,0.155071,,0.2873284,,0.0623253,0.0655351,0.0236554,0.0330887,,0.1238946,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.3,0.0479625,0.1673148,,0.0827187,0.053,0.0,0.0862114,0.0709926,0.0,0.0,0.0,0.0646361,0.2143483,0.0775019,0.1606574,0.0439289,0.1978721,0.0739139,0.0,0.5812646,,0.016536,0.0328581,0.029994,0.1516879,,0.1132114,0.0219874,,0.0281217,0.0380492,0.1381899,0.1501559,0.0464155,0.0670848,0.1551867,0.0,0.145723,,0.0567068,0.10835,0.0153115,0.0282571,,0.1139331,0.0047588,0.0,0.0
2020-03-13,0.0038288,0.0013466,0.0873705,0.1094726,0.1505168,,0.1103816,0.0628,0.0,0.0971985,0.0920857,0.2222222,0.5847953,0.0,0.0887127,0.2402904,0.1255251,0.1428232,0.0827601,0.2193559,0.0721503,0.0,0.4596568,0.0,0.0507098,0.0922989,0.0584874,0.1463071,0.0,0.0760341,0.0247045,,0.0389147,0.062626,0.1237958,0.0903844,0.0324412,0.0502108,0.1693988,0.0,0.2077534,,0.0795835,0.1773906,0.0254926,0.038588,,0.1070459,0.0078588,0.0,0.0
2020-03-14,0.0039446,0.0117527,0.069208,0.1175475,0.1568939,,0.1291588,0.0644,0.0008457,0.1098483,0.1104139,0.0287492,0.4132231,0.0258031,0.0907137,0.1916993,0.0591972,0.2646794,0.1219006,0.2224358,0.0724062,0.0,0.4287581,0.6666667,0.0292837,0.0605379,0.036648,0.1633661,0.0,0.0765752,0.0248333,,0.0408309,0.0720536,0.1358848,0.067497,0.0182927,0.0480397,0.1560208,0.0,0.1914191,,0.0837793,0.113408,0.0339107,0.0453358,,0.1083684,0.0050239,0.0,0.2398082
