time_value,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-02-01,0.083479,0.035638,0.148431,0.129299,0.169873,0.154064,0.143501,0.0,0.0,0.141296,0.035325,0.0,0.064226,0.0,0.144563,0.073606,0.055264,0.099543,0.239877,0.058033,0.231027,0.0,0.208768,0.0,0.155508,0.148231,0.0,0.030878,0.0,0.131652,0.084217,0.347788,0.0,0.043048,0.236053,0.152481,0.151745,0.0,0.322052,0.0,0.06808,0.0,0.235429,0.188901,0.031368,0.234884,0.0,0.055272,0.100114,0.0,0.0
2020-02-02,0.125133,0.035638,0.148431,0.129299,0.169046,0.160143,0.143199,0.0,0.0,0.14077,0.034526,0.0,0.064226,0.0,0.14442,0.07095,0.055264,0.098617,0.237611,0.057263,0.231027,0.0,0.208768,0.0,0.153288,0.165799,0.0,0.030604,0.0,0.129209,0.082777,0.348869,0.0,0.043048,0.238587,0.152244,0.151745,0.0,0.328003,0.0,0.06808,0.0,0.235252,0.188551,0.031368,0.234884,0.0,0.052098,0.100114,0.0,0.0
2020-02-03,0.153689,0.035638,0.148431,0.129299,0.168328,0.157627,0.142885,0.0,0.0,0.140295,0.033886,0.0,0.064226,0.0,0.144283,0.068626,0.055264,0.097839,0.2357,0.05661,0.231027,0.0,0.208768,0.0,0.165074,0.16325,0.05705,0.041122,0.0,0.127249,0.081283,0.346151,0.0,0.043048,0.241186,0.152035,0.151745,0.0,0.326381,0.0,0.06808,0.0,0.235079,0.18826,0.031368,0.234884,0.0,0.0496,0.100114,0.0,0.0
2020-02-04,0.120818,0.035638,0.148431,0.129299,0.1683,0.155274,0.142577,0.0,0.0,0.139883,0.033456,0.0,0.064226,0.0,0.144241,0.066673,0.055264,0.097207,0.234167,0.056087,0.231027,0.0,0.208768,0.0,0.163404,0.160528,0.0,0.039561,0.0,0.130078,0.079815,0.343751,0.0,0.043048,0.24164,0.151854,0.151745,0.0,0.324716,0.0,0.06808,0.0,0.234917,0.188029,0.031368,0.234884,0.0,0.048741,0.100114,0.0,0.0
2020-02-05,0.03181,0.035638,0.148431,0.129299,0.167762,0.153154,0.142289,0.0,0.0,0.140069,0.033456,0.0,0.068951,0.0,0.144241,0.0651,0.055264,0.096717,0.234617,0.055735,0.231027,0.0,0.208768,0.0,0.160337,0.157776,0.0,0.037889,0.0,0.128532,0.078442,0.341698,0.0,0.043048,0.241077,0.151701,0.151745,0.0,0.323086,0.0,0.06808,0.0,0.234772,0.188736,0.031368,0.234884,0.0,0.048741,0.100114,0.0,0.0
2020-02-06,0.022587,0.035638,0.148431,0.129299,0.167339,0.156367,0.144363,0.0,0.0,0.139737,0.033456,0.0,0.068371,0.0,0.144241,0.063893,0.055264,0.096587,0.2336,0.055735,0.231027,0.0,0.208768,0.0,0.157537,0.155129,0.0,0.036194,0.0,0.127327,0.077219,0.342577,0.0,0.043048,0.240001,0.151575,0.151745,0.0,0.32156,0.0,0.06808,0.0,0.23465,0.188506,0.031368,0.234884,0.0,0.048741,0.100114,0.0,0.0
2020-02-07,0.0,0.035638,0.148431,0.129299,0.167024,0.159392,0.143862,0.0,0.0,0.140062,0.034148,0.0,0.067736,0.0,0.14833,0.063492,0.055264,0.096587,0.232859,0.055735,0.231027,0.0,0.208768,0.003588,0.155064,0.152698,0.0,0.03456,0.0,0.132182,0.076183,0.345053,0.0,0.043048,0.238964,0.151475,0.151745,0.00955,0.320194,0.0,0.06808,0.0,0.234552,0.18831,0.031368,0.234884,0.0,0.048741,0.100114,0.0,0.0
2020-02-08,0.0,0.035638,0.148431,0.129299,0.167522,0.162235,0.143375,0.0,0.0,0.139784,0.03396,0.0,0.067077,0.007913,0.147776,0.063492,0.055264,0.096587,0.232829,0.055735,0.231027,0.0,0.208768,0.003187,0.152956,0.150569,0.0,0.033059,0.0,0.130835,0.075353,0.34793,0.0,0.043048,0.238009,0.152768,0.151745,0.00839,0.319028,0.0,0.06808,0.0,0.234532,0.190975,0.031368,0.237139,0.0,0.048741,0.100114,0.0,0.0
2020-02-09,0.0,0.035638,0.148431,0.136646,0.170547,0.15928,0.142919,0.0,0.0,0.139553,0.033811,0.0,0.066427,0.09928,0.147188,0.063492,0.055264,0.096587,0.232829,0.055735,0.231027,0.0,0.208768,0.002731,0.15123,0.148794,0.0,0.031744,0.0,0.129624,0.074794,0.34576,0.0,0.043048,0.23717,0.152549,0.151745,0.007108,0.318082,0.0,0.06808,0.0,0.234532,0.190499,0.031368,0.236868,0.0,0.048741,0.100114,0.0,0.0
2020-02-10,0.0,0.035638,0.148431,0.135759,0.16998,0.156518,0.142509,0.0,0.0,0.139368,0.03369,0.0,0.065817,0.182262,0.146595,0.063492,0.055264,0.096587,0.232829,0.055735,0.231027,0.0,0.208768,0.002241,0.149883,0.147395,0.0,0.030649,0.0,0.12855,0.074794,0.353182,0.0,0.043048,0.236469,0.152331,0.151745,0.005778,0.317358,0.0,0.06808,0.0,0.234532,0.193326,0.031368,0.236566,0.0,0.048741,0.100114,0.0,0.0
